language,k,w,threshold_pct,tp,fp,fn,precision,recall,f1,raw_pairs_txt
python,23,17,80,12,0,24,1.000000,0.333333,0.500000,final-hybrid/sweep_python_kw/mix_k23_w17.txt
python,23,17,85,10,0,26,1.000000,0.277778,0.434783,final-hybrid/sweep_python_kw/mix_k23_w17.txt
python,23,17,90,9,0,27,1.000000,0.250000,0.400000,final-hybrid/sweep_python_kw/mix_k23_w17.txt
python,23,17,95,5,0,31,1.000000,0.138889,0.243902,final-hybrid/sweep_python_kw/mix_k23_w17.txt
python,23,25,50,34,0,2,1.000000,0.944444,0.971429,final-hybrid/sweep_python_kw/mix_k23_w25.txt
python,23,25,55,32,0,4,1.000000,0.888889,0.941176,final-hybrid/sweep_python_kw/mix_k23_w25.txt
python,23,25,60,32,0,4,1.000000,0.888889,0.941176,final-hybrid/sweep_python_kw/mix_k23_w25.txt
python,23,25,65,26,0,10,1.000000,0.722222,0.838710,final-hybrid/sweep_python_kw/mix_k23_w25.txt
python,23,25,70,17,0,19,1.000000,0.472222,0.641509,final-hybrid/sweep_python_kw/mix_k23_w25.txt
python,23,25,75,16,0,20,1.000000,0.444444,0.615385,final-hybrid/sweep_python_kw/mix_k23_w25.txt
python,23,25,80,12,0,24,1.000000,0.333333,0.500000,final-hybrid/sweep_python_kw/mix_k23_w25.txt
python,23,25,85,10,0,26,1.000000,0.277778,0.434783,final-hybrid/sweep_python_kw/mix_k23_w25.txt
python,23,25,90,9,0,27,1.000000,0.250000,0.400000,final-hybrid/sweep_python_kw/mix_k23_w25.txt
python,23,25,95,5,0,31,1.000000,0.138889,0.243902,final-hybrid/sweep_python_kw/mix_k23_w25.txt
python,23,40,50,34,0,2,1.000000,0.944444,0.971429,final-hybrid/sweep_python_kw/mix_k23_w40.txt
python,23,40,55,32,0,4,1.000000,0.888889,0.941176,final-hybrid/sweep_python_kw/mix_k23_w40.txt
python,23,40,60,32,0,4,1.000000,0.888889,0.941176,final-hybrid/sweep_python_kw/mix_k23_w40.txt
python,23,40,65,26,0,10,1.000000,0.722222,0.838710,final-hybrid/sweep_python_kw/mix_k23_w40.txt
python,23,40,70,17,0,19,1.000000,0.472222,0.641509,final-hybrid/sweep_python_kw/mix_k23_w40.txt
python,23,40,75,16,0,20,1.000000,0.444444,0.615385,final-hybrid/sweep_python_kw/mix_k23_w40.txt
python,23,40,80,12,0,24,1.000000,0.333333,0.500000,final-hybrid/sweep_python_kw/mix_k23_w40.txt
python,23,40,85,10,0,26,1.000000,0.277778,0.434783,final-hybrid/sweep_python_kw/mix_k23_w40.txt
python,23,40,90,9,0,27,1.000000,0.250000,0.400000,final-hybrid/sweep_python_kw/mix_k23_w40.txt
python,23,40,95,5,0,31,1.000000,0.138889,0.243902,final-hybrid/sweep_python_kw/mix_k23_w40.txt
